station,date,type,name,remarks
URK2,2011-11-13T00:00Z,ANT,TPSCR.G3        TPSH, 
URK2,2016-01-13T00:00Z,ANT,TPSCR.G5        TPSH, 
USQU,2014-04-04T00:00Z,REC,TPS EG3_OEM         , 
USQU,2014-04-04T00:00Z,ANT,TPSCR.G5        TPSH, 
UTR2,2008-11-03T16:08Z,REC,TPS ODYSSEY_E       , 
UTR2,2014-09-10T00:00Z,REC,LEICA GR25          , 
UTR2,2016-07-13T00:00Z,REC,TRIMBLE NETR9       , 
UTR2,2008-11-03T16:08Z,ANT,TPSCR.G3+M2     TPSH, 
UTRE,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
UTRE,2007-01-01T00:00Z,ANT,TPSPG_A1+M      NONE, 
VEEN,2007-11-13T00:00Z,REC,TPS GB-1000         ,Modif. 24sep2019 by HM
VEEN,2009-10-31T00:00Z,REC,TPS GB-1000         ,Modif. 24sep2019 by HM
VEEN,2007-11-12T00:00Z,ANT,TPSCR.G3        TPSH,Modif. 24sep2019 by HM
VEEN,2015-10-22T00:00Z,ANT,TPSCR.G5        TPSH, 
VLIE,2010-12-31T00:00Z,REC,TPS ODYSSEY_E       , 
VLIE,2014-04-29T00:00Z,REC,LEICA GR25          , 
VLIE,2016-07-21T00:00Z,REC,LEICA GR50          , 
VLIE,2010-12-31T00:00Z,ANT,TPSCR.G3        TPSH, 
VLIS,2007-01-01T00:00Z,REC,TPS ODYSSEY_E       , 
VLIS,2014-10-01T00:00Z,REC,LEICA GR25          , 
VLIS,2016-08-31T00:00Z,REC,LEICA GR50          , 
VLIS,2007-01-01T00:00Z,ANT,TRM29659.00     UNAV, 
VLIS,2014-10-01T00:00Z,ANT,LEIAR25.R4      LEIT, 
WARM,2014-10-29T21:40Z,REC,LEICA GR25          , 
WARM,2016-08-09T00:01Z,REC,LEICA GR50          , 
